group,id_spec,WARP1,rho14_pencilsFINAL,WARP2,rho14_pensFINAL,rhoIND_pencils,rhoIND_pens
13,11,1,0,0,0,0.908228625549582,0.999999999909092
13,12,10,0,6,0,0.380748392331404,0.716283695332447
13,13,0,0,0,0,0.999999999909092,0.999999999909092
13,14,3,0,0,0,0.908228625474713,0.999999999909092
14,2,3,0,0,0,0.908228625473293,0.999999999909092
14,3,10,0,8,0,0.502203679969045,0.502203679949153
14,4,9,0,0,0,0.61306622661483,0.999999999909092
14,5,3,0,0,0,0.908228618538516,0.999999999909092
14,6,3,0,9,0,0.908228625474713,0.613066226411009
14,7,9,0,10,0,0.502203679353148,0.380748391477318
15,3,0,0,9,0,0.999999999909092,0.502203690447142
15,4,1,0,8,0,0.908228625565454,0.613066222567475
15,5,0,0,3,0,0.999999999909092,0.90822862547463
15,6,7,0,3,0,0.716283689441493,0.908228625549083
15,7,0,0,0,0,0.999999999909092,0.999999999909092
15,8,0,0,10,0,0.999999999909092,0.380748386108712
15,9,1,0,5,0,0.90822862555007,0.814093095212718
15,10,0,0,0,0,0.999999999909092,0.999999999909092
15,11,1,0,3,0,0.908228625565967,0.908228625535425
15,12,3,0,0,0,0.908228625535229,0.999999999909092
15,13,0,0,10,0,0.999999999909092,0.502203681804204
16,5,1,0,0,0,0.908228625549796,0.999999999909092
16,6,0,0,0,0,0.999999999909092,0.999999999909092
16,7,7,0,9,0,0.716283695414899,0.380748393206509
16,8,3,0,3,0,0.908228617878614,0.908228618538021
16,9,0,0,5,0,0.999999999909092,0.814093095287088
16,10,0,0,0,0,0.999999999909092,0.999999999909092
16,11,1,0,5,0,0.908228618545451,0.814093095255792
16,12,3,0,0,0,0.908228625534669,0.999999999909092
16,13,0,0,0,0,0.999999999909092,0.999999999909092
16,14,0,0,1,0,0.999999999909092,0.908228625549796
16,15,0,0,1,0,0.999999999909092,0.908228625549796
17,4,1,0,0,0,0.908228625565454,0.999999999909092
